idx,error
1406, 0.026584
1407, 0.113749
1408, 0.039291
1409, 0.023589
1410, 0.106873
1411, 0.036989
1412, 0.023891
1413, 0.106599
1414, 0.038387
1415, 0.024693
1416, 0.109393
1417, 0.038563
1418, 0.025458
1419, 0.107362
1420, 0.038110
1421, 0.023351
1422, 0.124171
1423, 0.038150
1424, 0.024858
1425, 0.120795
1426, 0.038734
1427, 0.022403
1428, 0.109559
1429, 0.039663
1430, 0.023240
1431, 0.107593
1432, 0.039584
1433, 0.022597
1434, 0.109808
1435, 0.041468
1436, 0.023028
1437, 0.122710
1438, 0.040493
1439, 0.021918
1440, 0.112717
1441, 0.039767
1442, 0.024155
1443, 0.118369
1444, 0.040335
1445, 0.022716
1446, 0.108637
1447, 0.040529
1448, 0.023716
1449, 0.106752
1450, 0.039307
1451, 0.022718
1452, 0.106531
1453, 0.041204
1454, 0.022534
1455, 0.111636
1456, 0.042043
1457, 0.022365
1458, 0.107681
1459, 0.042034
1460, 0.026272
1461, 0.107349
1462, 0.038639
1463, 0.022798
1464, 0.110233
1465, 0.039697
1466, 0.022389
1467, 0.106123
1468, 0.038471
1469, 0.022063
1470, 0.107583
1471, 0.039937
1472, 0.022709
1473, 0.106590
1474, 0.039049
1475, 0.022055
1476, 0.105719
1477, 0.037849
1478, 0.022003
1479, 0.105816
1480, 0.039883
1481, 0.023694
1482, 0.116944
1483, 0.038157
1484, 0.022007
1485, 0.106277
1486, 0.037470
1487, 0.024308
1488, 0.111661
1489, 0.038987
1490, 0.024961
1491, 0.116702
1492, 0.039763
1493, 0.023132
1494, 0.108747
1495, 0.039386
1496, 0.021725
1497, 0.106681
1498, 0.038124
1499, 0.024547
1500, 0.106207
1501, 0.039624
1502, 0.025815
1503, 0.106027
1504, 0.038582
1505, 0.021827
1506, 0.106182
1507, 0.039361
1508, 0.023519
1509, 0.110542
1510, 0.039083
1511, 0.022057
1512, 0.104629
1513, 0.039401
1514, 0.022929
1515, 0.104498
1516, 0.038274
1517, 0.023491
1518, 0.105459
1519, 0.037825
1520, 0.022151
1521, 0.113847
1522, 0.037441
1523, 0.022559
1524, 0.104091
1525, 0.037804
1526, 0.022928
1527, 0.124501
1528, 0.040691
1529, 0.022943
1530, 0.105984
1531, 0.038888
1532, 0.023359
1533, 0.104875
1534, 0.037730
1535, 0.022721
1536, 0.104987
1537, 0.038576
1538, 0.022986
1539, 0.106688
1540, 0.038481
1541, 0.024944
1542, 0.104835
1543, 0.039498
1544, 0.022919
1545, 0.105062
1546, 0.040351
1547, 0.025100
1548, 0.107577
1549, 0.038378
1550, 0.022680
1551, 0.114220
1552, 0.039138
1553, 0.023224
1554, 0.113953
1555, 0.039208
1556, 0.025476
1557, 0.104551
1558, 0.038107
1559, 0.022145
1560, 0.103073
1561, 0.039608
1562, 0.024585
1563, 0.108525
1564, 0.038600
1565, 0.022458
1566, 0.105404
1567, 0.038772
1568, 0.023069
1569, 0.104125
1570, 0.039040
1571, 0.022837
1572, 0.108126
1573, 0.038814
1574, 0.022691
1575, 0.102552
1576, 0.041290
1577, 0.023645
1578, 0.104176
1579, 0.040833
1580, 0.024605
1581, 0.103768
1582, 0.038876
1583, 0.023229
1584, 0.108643
1585, 0.038909
1586, 0.024570
1587, 0.104056
1588, 0.038038
1589, 0.022541
1590, 0.104802
1591, 0.042043
1592, 0.022533
1593, 0.107707
1594, 0.038460
1595, 0.023849
1596, 0.113655
1597, 0.037453
1598, 0.026256
1599, 0.105670
1600, 0.036770
1601, 0.023617
1602, 0.103294
1603, 0.037148
1604, 0.023862
1605, 0.103034
1606, 0.037068
1607, 0.023716
1608, 0.104632
1609, 0.035694
1610, 0.025111
1611, 0.110249
1612, 0.037723
1613, 0.024582
1614, 0.104897
1615, 0.036832
1616, 0.024486
1617, 0.114074
1618, 0.037137
1619, 0.024685
1620, 0.110640
1621, 0.036994
1622, 0.027060
1623, 0.111285
1624, 0.036188
1625, 0.024799
1626, 0.102594
1627, 0.037328
1628, 0.024154
1629, 0.103735
1630, 0.035504
1631, 0.025317
1632, 0.110010
1633, 0.036280
1634, 0.027340
1635, 0.104801
1636, 0.035642
1637, 0.026207
1638, 0.116154
1639, 0.036842
1640, 0.024396
1641, 0.122078
1642, 0.037266
1643, 0.024301
1644, 0.104121
1645, 0.036581
1646, 0.027969
1647, 0.109426
1648, 0.037648
1649, 0.026638
1650, 0.120761
1651, 0.038515
1652, 0.024589
1653, 0.112515
1654, 0.037597
1655, 0.025280
1656, 0.105623
1657, 0.039234
1658, 0.022980
1659, 0.113317
1660, 0.039475
1661, 0.024341
1662, 0.111721
1663, 0.040548
