kl,wkl
4, -0.708820
5, -0.658719
6, -0.078458
7, 0.614225
8, 0.308832
9, -0.314664
1, -0.192225
2, -0.248467
3, -0.170821
4, -0.723828
5, -0.673039
6, -0.044683
7, 0.611611
8, 0.306337
9, -0.308781
1, -0.170338
2, -0.258361
3, -0.185531
4, -0.694644
5, -0.686231
6, -0.064297
7, 0.619359
8, 0.302835
9, -0.313988
1, -0.188747
2, -0.235949
3, -0.200654
4, -0.705620
5, -0.672868
6, -0.073314
7, 0.604795
8, 0.320566
9, -0.325952
1, -0.196843
2, -0.243716
3, -0.182171
4, -0.720110
5, -0.686770
6, -0.040235
7, 0.602893
8, 0.318740
9, -0.321608
1, -0.175121
2, -0.252820
3, -0.196587
4, -0.688343
5, -0.700083
6, -0.061317
7, 0.609609
8, 0.315925
9, -0.326065
1, -0.193765
2, -0.230784
3, -0.211752
4, -0.697683
5, -0.689043
6, -0.068915
7, 0.595802
8, 0.332244
9, -0.337296
1, -0.201651
2, -0.238172
3, -0.193122
4, -0.712312
5, -0.702747
6, -0.034356
7, 0.593906
8, 0.330468
9, -0.332817
1, -0.179064
2, -0.250441
3, -0.208204
4, -0.688481
5, -0.715692
6, -0.050269
7, 0.607983
8, 0.322821
9, -0.342217
1, -0.198623
2, -0.228455
3, -0.223085
4, -0.697570
5, -0.705475
6, -0.057184
7, 0.591667
8, 0.341162
9, -0.354631
1, -0.206977
2, -0.236149
3, -0.204334
4, -0.712215
5, -0.718962
6, -0.024313
7, 0.589494
8, 0.339161
9, -0.349754
1, -0.185270
2, -0.247457
3, -0.219229
4, -0.689601
5, -0.730743
6, -0.039831
7, 0.597931
8, 0.334766
9, -0.355543
1, -0.204041
2, -0.225310
3, -0.233997
4, -0.699318
5, -0.719279
6, -0.047475
7, 0.583064
8, 0.352307
9, -0.367239
1, -0.212742
2, -0.233259
3, -0.214931
4, -0.713917
5, -0.732618
6, -0.015485
7, 0.580625
8, 0.350078
9, -0.361894
1, -0.190487
2, -0.244842
3, -0.229866
4, -0.690479
5, -0.744816
6, -0.031214
7, 0.591357
8, 0.344492
9, -0.369097
1, -0.209954
2, -0.222965
3, -0.244367
4, -0.699496
5, -0.734682
6, -0.037931
7, 0.574731
8, 0.363178
9, -0.381482
1, -0.218169
2, -0.230334
3, -0.225410
4, -0.714191
5, -0.747864
6, -0.004022
7, 0.572294
8, 0.360991
9, -0.375858
1, -0.195826
2, -0.239792
3, -0.240078
4, -0.684053
5, -0.760621
6, -0.023808
7, 0.580522
8, 0.357509
9, -0.381260
1, -0.214958
2, -0.218047
3, -0.254541
4, -0.692660
5, -0.750839
6, -0.030314
7, 0.565055
8, 0.375089
9, -0.392952
1, -0.223212
2, -0.225391
3, -0.235905
4, -0.707073
5, -0.763663
6, 0.002227
7, 0.562999
8, 0.373259
9, -0.388310
1, -0.200762
2, -0.234786
3, -0.250487
4, -0.676405
5, -0.776498
6, -0.017693
7, 0.572140
8, 0.369433
9, -0.394248
1, -0.219117
2, -0.212913
3, -0.265013
4, -0.685123
5, -0.766108
6, -0.024594
7, 0.558884
8, 0.385232
9, -0.404739
1, -0.228278
2, -0.220899
3, -0.245461
4, -0.699906
5, -0.778993
6, 0.006954
7, 0.555968
8, 0.382690
9, -0.398516
1, -0.205957
2, -0.233682
3, -0.260241
4, -0.679497
5, -0.790682
6, -0.006559
7, 0.568953
8, 0.375253
9, -0.407114
1, -0.225278
2, -0.212024
3, -0.274275
4, -0.688103
5, -0.781035
6, -0.012810
7, 0.552464
8, 0.393737
9, -0.419091
1, -0.233366
2, -0.218959
3, -0.255606
4, -0.702556
5, -0.793429
6, 0.020553
7, 0.550360
8, 0.391932
9, -0.414234
1, -0.211414
2, -0.228193
3, -0.270057
4, -0.673401
5, -0.805692
6, 0.001359
7, 0.558061
8, 0.388693
9, -0.419304
1, -0.230100
2, -0.206400
3, -0.284142
4, -0.682167
5, -0.795469
6, -0.005248
7, 0.543306
8, 0.405902
9, -0.430426
1, -0.238111
2, -0.213163
3, -0.265636
4, -0.696570
5, -0.807629
6, 0.028022
7, 0.541348
8, 0.404249
9, -0.425904
1, -0.215858
2, -0.222604
3, -0.280137
